id,flags,expiration,cas,value,rev,vbid,dtype
573246042969280512,33554432,0,1233382532836,"{""id"":""573246042969280512"",""text"":""#SAPDesignStudio - Try our #DesignStudio Extensions with your own data - Register here - http://t.co/7RpdVZNlU6"",""name"":""Ingo Hilgefort"",""longitude"":null,""hashtags"":[""SAPDesignStudio"",""DesignStudio""],""latitude"":null,""datetime"":1425507481000,""mentions"":[],""user"":""ihilgefort""}",3,198,1
573246241288548353,33554432,0,1236794950679,"{""id"":""573246241288548353"",""text"":""\"" A necessária volta às ruas: A necessária volta às ruas Editorial Devemos transformar o dia 13 de março numa data… http://t.co/bH332pjU8m"",""name"":""Conversa sem nome"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507528000,""mentions"":[],""user"":""conversasemnome""}",2,197,1
573245562230726656,33554432,0,1226138208029,"{""id"":""573245562230726656"",""text"":""http://t.co/wShT1nWDJz Abid Naseer found guilty of participating in al-Qaeda plot to blow up Manchester's Arnda... http://t.co/G7y0sbBtHt"",""name"":""stevie davidson"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507367000,""mentions"":[],""user"":""discount_search""}",5,191,1
573246258887991298,33554432,0,1237144656474,"{""id"":""573246258887991298"",""text"":""RT @LUGANSK_TODAY: Алчевск. ШТАБ боевиков ЛНР-РФ. Машины радиоразведки на базе УРАЛ, 2 БТР.\n48.478192, 38.785393 https://t.co/0OsZiSryfu ht…"",""name"":""юрій   музичка"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507533000,""mentions"":[""LUGANSK_TODAY""],""user"":""taksist6""}",2,711,1
573245484204232704,33554432,0,1223615964233,"{""id"":""573245484204232704"",""text"":""One sperm has 37.5MB of DNA information in it. That means a normal ejaculation represents a data transfer of 1587GB in about 3 seconds!"",""name"":""Amazing Facts"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507348000,""mentions"":[],""user"":""intrstng_facts""}",5,710,1
573246016469766144,33554432,0,1232424586974,"{""id"":""573246016469766144"",""text"":""RT @FallenWorldBR: \""As próximas notícias que irei revelar será a data de lançamento e o trailer\"" #LaurenKate ❤"",""name"":""sky"",""longitude"":null,""hashtags"":[""LaurenKate""],""latitude"":null,""datetime"":1425507475000,""mentions"":[""FallenWorldBR""],""user"":""itsfrozain""}",3,190,1
573245905299750913,33554432,0,1200791451590,"{""id"":""573245905299750913"",""text"":""RT @SignosSiga: ♐ #Sagitário \""Haverá sempre  data,  palavra,  olhar,  filme,  música,  ponto,  sorriso,  motivo que me fará lembrar de você…"",""name"":""manuela"",""longitude"":null,""hashtags"":[""Sagitário""],""latitude"":null,""datetime"":1425507448000,""mentions"":[""SignosSiga""],""user"":""JouManu""}",3,917,1
573246228458303488,33554432,0,1236373573833,"{""id"":""573246228458303488"",""text"":""RT @ShoebridgeC: Snowden reveals #NewZealand collects entire data of its Pacific friends, and passes it to #gchq #nsa\nhttp://t.co/mHZyeY2TH…"",""name"":""Gary Weatherhead"",""longitude"":null,""hashtags"":[""NewZealand"",""gchq"",""nsa""],""latitude"":null,""datetime"":1425507525000,""mentions"":[""ShoebridgeC"",""TheWarRoomNZ""],""user"":""garyvirgilpres""}",2,913,1
573245621353631744,33554432,0,1196462571813,"{""id"":""573245621353631744"",""text"":""RT @ninkibot2014: 【衝撃うけたらRT】\n【乞食速報】プリングルズのスピーカーが絶対貰えるぞ！　いそげー(´・ω・｀) 他　⇒　http://t.co/mQ4J9YA3dW http://t.co/HhMFk43HAE"",""name"":""【魁】笑いの革命"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507381000,""mentions"":[""ninkibot2014""],""user"":""warai201407""}",4,271,1
573245737070403586,33554432,0,1227628372505,"{""id"":""573245737070403586"",""text"":""Las Vegas Search Engine Optimization Company - Focus Internet Services SEO &amp; Online Marketing http://t.co/NqskC26IVm"",""name"":""Manvir Fontes"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507408000,""mentions"":[],""user"":""FontesManvir""}",4,292,1
